Real(s);User(s);Sys(s);CPU_Usage
36.38;0.01;12.12;33%
33.99;0.01;8.89;26%
31.74;0.01;10.95;34%
34.21;0.01;9.87;28%
30.47;0.01;8.02;26%
31.25;0.01;8.48;27%
31.58;0.01;9.72;30%
30.90;0.01;9.37;30%
30.98;0.01;9.11;29%
30.65;0.01;8.46;27%
31.53;0.01;8.14;25%
30.48;0.01;8.31;27%
31.58;0.00;9.79;31%
30.14;0.01;10.07;33%
31.66;0.01;9.30;29%
30.64;0.01;8.39;27%
31.19;0.01;8.05;25%
31.15;0.01;8.71;28%
30.81;0.01;8.67;28%
31.24;0.01;10.79;34%
31.85;0.00;9.95;31%
31.28;0.02;8.25;26%
30.48;0.01;8.37;27%
30.82;0.01;7.89;25%
30.41;0.01;8.11;26%
31.32;0.00;8.20;26%
31.81;0.01;9.75;30%
31.72;0.01;8.98;28%
30.73;0.01;8.31;27%
31.26;0.01;8.18;26%
30.94;0.01;8.22;26%
32.02;0.01;8.17;25%
31.10;0.01;8.57;27%
30.76;0.01;9.65;31%
31.46;0.00;8.50;27%
31.28;0.01;8.31;26%
30.63;0.01;8.25;26%
31.78;0.01;8.16;25%
30.68;0.01;8.62;28%
30.44;0.02;8.27;27%
31.64;0.01;8.73;27%
30.99;0.01;10.21;33%
30.39;0.01;8.93;29%
31.77;0.01;8.38;26%
31.76;0.01;8.77;27%
30.92;0.01;8.61;27%
30.94;0.01;8.61;27%
32.34;0.01;9.11;28%
32.06;0.01;10.04;31%
30.90;0.00;9.06;29%
