Real(s);User(s);Sys(s);CPU_Usage
24.94;0.01;6.76;27%
18.89;0.00;3.81;20%
18.65;0.01;3.79;20%
19.12;0.01;4.16;21%
19.24;0.00;4.37;22%
19.20;0.00;3.60;18%
20.19;0.00;4.42;21%
19.38;0.01;4.16;21%
19.14;0.00;4.00;20%
19.48;0.00;3.81;19%
19.58;0.00;4.08;20%
19.38;0.00;3.74;19%
18.93;0.00;4.03;21%
19.03;0.00;3.91;20%
19.53;0.00;4.00;20%
19.08;0.00;3.97;20%
19.39;0.00;3.88;20%
19.23;0.00;3.96;20%
19.14;0.00;3.72;19%
19.11;0.00;4.24;22%
19.25;0.00;3.69;19%
18.89;0.00;4.14;22%
19.49;0.00;3.26;16%
19.04;0.00;3.60;18%
18.84;0.00;3.81;20%
19.05;0.00;4.03;21%
19.71;0.00;4.06;20%
19.56;0.00;4.20;21%
19.42;0.00;3.94;20%
18.85;0.00;4.21;22%
18.78;0.00;3.97;21%
19.13;0.00;3.86;20%
18.79;0.00;3.89;20%
19.19;0.00;4.01;20%
19.11;0.00;4.27;22%
19.93;0.00;3.94;19%
19.08;0.00;4.43;23%
18.90;0.00;4.11;21%
19.24;0.00;4.34;22%
19.15;0.01;3.81;19%
19.70;0.01;4.38;22%
18.55;0.00;3.96;21%
19.02;0.01;4.16;21%
18.93;0.00;3.93;20%
18.96;0.00;3.90;20%
19.01;0.00;3.93;20%
19.38;0.00;3.94;20%
19.22;0.00;4.50;23%
19.21;0.00;3.95;20%
19.26;0.00;4.11;21%
