Real(s);User(s);Sys(s);CPU_Usage
9.93;0.00;1.94;19%
6.60;0.00;1.07;16%
6.47;0.00;0.87;13%
6.39;0.00;0.86;13%
6.48;0.00;0.88;13%
6.76;0.00;0.84;12%
6.76;0.00;0.89;13%
6.81;0.00;0.87;12%
6.35;0.00;0.79;12%
6.63;0.00;0.88;13%
6.50;0.00;0.87;13%
6.43;0.00;0.84;13%
6.83;0.00;1.14;16%
6.56;0.00;0.84;12%
6.77;0.00;1.02;15%
6.55;0.00;0.94;14%
6.74;0.00;0.92;13%
6.61;0.00;0.86;13%
6.87;0.00;1.26;18%
6.51;0.00;0.86;13%
6.94;0.00;1.00;14%
6.61;0.00;1.05;15%
6.84;0.00;0.95;13%
6.88;0.00;0.95;13%
6.67;0.00;1.05;15%
6.53;0.00;0.91;13%
6.69;0.00;1.00;15%
6.56;0.00;0.87;13%
6.84;0.00;0.93;13%
6.60;0.00;0.85;12%
6.67;0.00;0.94;14%
6.90;0.00;1.03;15%
6.67;0.00;0.96;14%
6.49;0.00;0.88;13%
6.46;0.00;0.92;14%
6.79;0.00;1.00;14%
6.62;0.00;1.01;15%
6.62;0.00;1.12;16%
7.07;0.00;0.99;14%
6.64;0.00;1.02;15%
6.76;0.00;1.01;15%
6.83;0.00;1.03;15%
6.91;0.00;1.02;14%
6.50;0.00;0.99;15%
6.83;0.00;0.98;14%
6.51;0.00;0.96;14%
6.62;0.00;1.01;15%
6.72;0.00;0.91;13%
6.82;0.00;0.91;13%
6.82;0.00;0.98;14%
