Real(s);User(s);Sys(s);CPU_Usage
59.12;0.21;15.73;26%
64.15;0.21;16.24;25%
61.40;0.22;16.08;26%
51.79;0.21;16.40;32%
53.99;0.22;16.11;30%
64.42;0.20;17.03;26%
63.02;0.24;16.17;26%
61.32;0.23;16.23;26%
57.54;0.20;16.47;28%
59.70;0.24;16.47;27%
60.61;0.21;16.12;26%
64.86;0.22;16.02;25%
60.60;0.22;16.16;27%
61.97;0.18;16.40;26%
60.78;0.20;16.38;27%
59.58;0.21;16.41;27%
66.13;0.20;16.49;25%
65.15;0.20;16.25;25%
63.08;0.21;16.02;25%
66.51;0.18;16.12;24%
64.40;0.22;16.42;25%
60.99;0.20;16.27;27%
62.15;0.20;16.50;26%
66.95;0.20;16.23;24%
64.39;0.19;16.30;25%
65.21;0.23;16.35;25%
61.40;0.18;16.16;26%
66.07;0.18;16.09;24%
66.05;0.22;16.35;25%
60.96;0.22;16.65;27%
65.60;0.19;16.25;25%
61.17;0.22;16.25;26%
66.21;0.21;16.22;24%
65.48;0.23;16.26;25%
63.70;0.21;16.37;26%
63.60;0.22;16.13;25%
65.63;0.22;16.26;25%
65.24;0.21;16.60;25%
61.92;0.23;16.50;27%
66.11;0.21;16.25;24%
64.70;0.21;16.16;25%
63.39;0.21;16.30;26%
65.48;0.21;16.37;25%
63.44;0.23;16.14;25%
64.01;0.23;16.33;25%
62.14;0.23;16.02;26%
64.85;0.19;16.34;25%
54.26;0.24;16.19;30%
63.89;0.24;16.29;25%
64.83;0.22;16.27;25%
