Real(s);User(s);Sys(s);CPU_Usage
6.45;0.02;1.72;27%
7.51;0.02;1.90;25%
7.16;0.02;1.75;24%
6.83;0.03;1.61;24%
6.59;0.01;1.67;25%
6.50;0.01;1.65;25%
6.53;0.02;1.60;24%
6.28;0.03;1.54;25%
6.51;0.03;1.53;24%
6.36;0.04;1.51;24%
6.44;0.01;1.54;24%
6.51;0.02;1.55;24%
6.52;0.02;1.56;24%
6.49;0.03;1.52;23%
6.31;0.03;1.54;25%
6.34;0.03;1.49;24%
6.42;0.03;1.53;24%
6.40;0.03;1.52;24%
6.47;0.03;1.55;24%
6.58;0.02;1.57;24%
6.56;0.02;1.61;24%
6.55;0.02;1.59;24%
6.60;0.02;1.56;24%
6.49;0.03;1.57;24%
6.47;0.02;1.54;24%
6.34;0.03;1.55;24%
6.40;0.03;1.52;24%
6.40;0.02;1.57;24%
6.43;0.04;1.54;24%
6.55;0.03;1.54;24%
6.48;0.02;1.53;24%
6.41;0.02;1.50;23%
6.41;0.02;1.55;24%
6.24;0.03;1.54;25%
6.28;0.02;1.56;25%
6.31;0.03;1.54;25%
6.19;0.03;1.53;25%
6.28;0.03;1.54;25%
6.29;0.02;1.52;24%
6.29;0.02;1.51;24%
6.41;0.02;1.51;23%
6.44;0.03;1.50;23%
6.21;0.03;1.52;25%
6.40;0.03;1.57;25%
6.31;0.02;1.55;24%
6.44;0.02;1.51;23%
6.50;0.03;1.58;24%
6.52;0.02;1.55;24%
6.72;0.03;1.58;24%
6.72;0.02;1.60;24%
