Real(s);User(s);Sys(s);CPU_Usage
42.67;0.16;10.62;25%
35.98;0.16;8.92;25%
36.13;0.15;9.14;25%
33.64;0.16;8.47;25%
30.58;0.13;8.46;28%
31.99;0.14;8.88;28%
31.82;0.15;8.59;27%
31.69;0.14;8.40;26%
32.19;0.14;8.34;26%
32.54;0.14;8.33;26%
33.38;0.15;8.76;26%
32.77;0.13;8.62;26%
32.96;0.15;8.36;25%
31.56;0.14;8.20;26%
32.32;0.15;8.27;26%
32.16;0.15;8.22;26%
33.51;0.13;9.27;28%
32.75;0.15;8.63;26%
32.48;0.13;8.23;25%
31.62;0.15;8.26;26%
33.25;0.13;8.52;26%
32.43;0.13;8.22;25%
32.84;0.13;8.38;25%
32.12;0.16;8.36;26%
32.51;0.14;8.12;25%
32.65;0.14;8.23;25%
31.95;0.15;8.09;25%
32.54;0.14;8.21;25%
31.87;0.16;8.19;26%
31.48;0.13;8.43;27%
32.25;0.14;8.48;26%
33.41;0.15;9.06;27%
32.32;0.16;8.16;25%
32.59;0.12;8.29;25%
32.15;0.15;8.22;26%
32.76;0.14;8.18;25%
32.57;0.15;8.25;25%
32.84;0.14;8.30;25%
32.87;0.13;8.64;26%
31.72;0.13;8.03;25%
32.45;0.15;8.10;25%
32.54;0.13;8.16;25%
31.66;0.15;7.96;25%
32.16;0.14;8.11;25%
32.57;0.15;8.26;25%
31.54;0.14;8.34;26%
31.49;0.13;8.17;26%
31.52;0.17;8.08;26%
32.28;0.16;8.13;25%
32.17;0.14;8.08;25%
