Real(s);User(s);Sys(s);CPU_Usage
34.31;0.03;11.23;32%
34.15;0.02;11.55;33%
35.15;0.02;12.15;34%
35.26;0.02;11.77;33%
35.70;0.03;11.21;31%
36.96;0.03;11.94;32%
34.93;0.04;11.49;33%
35.60;0.04;11.75;33%
36.71;0.03;11.19;30%
33.57;0.03;11.11;33%
35.98;0.03;11.25;31%
34.27;0.03;11.36;33%
37.02;0.03;11.45;31%
37.39;0.02;11.56;30%
35.24;0.04;11.77;33%
35.37;0.03;11.34;32%
33.75;0.02;10.97;32%
34.05;0.04;11.84;34%
35.47;0.03;12.64;35%
36.70;0.02;11.44;31%
35.79;0.04;11.46;32%
37.79;0.04;11.36;30%
36.74;0.03;12.35;33%
37.70;0.03;11.92;31%
33.71;0.03;11.69;34%
35.07;0.03;11.56;33%
37.13;0.03;13.00;35%
37.30;0.04;13.26;35%
35.60;0.03;11.78;33%
36.08;0.02;11.66;32%
35.70;0.04;11.32;31%
36.40;0.03;11.71;32%
35.89;0.02;11.60;32%
37.82;0.04;11.63;30%
36.06;0.02;11.61;32%
35.84;0.02;11.62;32%
35.63;0.03;11.69;32%
36.55;0.03;11.83;32%
37.67;0.03;11.88;31%
36.45;0.03;12.10;33%
33.78;0.03;11.36;33%
36.47;0.03;11.56;31%
33.80;0.04;11.38;33%
35.92;0.04;11.75;32%
34.52;0.03;11.25;32%
36.45;0.03;11.59;31%
37.67;0.02;11.87;31%
33.99;0.03;11.42;33%
33.03;0.03;11.59;35%
34.45;0.04;11.29;32%
