Real(s);User(s);Sys(s);CPU_Usage
2.88;0.00;1.34;46%
2.15;0.00;1.24;57%
2.18;0.00;1.26;57%
2.25;0.00;1.20;53%
2.38;0.00;1.42;59%
2.24;0.00;1.22;54%
2.25;0.00;1.26;55%
2.17;0.00;1.23;57%
2.17;0.00;1.24;57%
2.20;0.00;1.30;59%
2.18;0.00;1.29;59%
2.20;0.00;1.29;59%
2.33;0.00;1.30;55%
2.26;0.00;1.24;55%
2.26;0.00;1.20;53%
2.21;0.00;1.24;56%
2.29;0.00;1.27;55%
2.16;0.00;1.26;58%
2.26;0.00;1.33;59%
2.26;0.00;1.30;57%
2.14;0.00;1.20;56%
2.17;0.00;1.25;57%
2.18;0.00;1.28;58%
2.24;0.00;1.29;57%
2.12;0.00;1.22;57%
2.15;0.00;1.23;57%
2.24;0.00;1.26;56%
2.18;0.00;1.21;55%
2.12;0.00;1.19;56%
2.26;0.00;1.35;60%
2.19;0.00;1.26;57%
2.17;0.00;1.23;56%
2.16;0.00;1.25;57%
2.09;0.00;1.19;57%
2.14;0.00;1.25;58%
2.13;0.00;1.22;57%
2.15;0.00;1.21;56%
2.11;0.00;1.25;59%
2.19;0.00;1.35;61%
2.41;0.00;1.36;56%
2.10;0.00;1.28;61%
2.03;0.00;1.22;60%
2.05;0.00;1.22;59%
2.09;0.00;1.27;61%
2.17;0.00;1.25;57%
2.15;0.00;1.24;57%
2.22;0.00;1.35;61%
2.14;0.00;1.26;59%
2.19;0.00;1.17;53%
2.12;0.00;1.15;54%
