Real(s);User(s);Sys(s);CPU_Usage
11.92;0.02;7.50;63%
8.33;0.01;6.54;78%
7.71;0.01;6.07;78%
8.95;0.03;7.26;81%
7.81;0.01;6.05;77%
8.06;0.02;6.38;79%
8.54;0.02;6.84;80%
8.69;0.02;6.89;79%
8.20;0.01;6.51;79%
7.92;0.01;6.16;77%
7.75;0.01;6.12;79%
7.93;0.01;6.19;78%
8.20;0.02;6.63;81%
8.04;0.01;6.57;81%
8.83;0.03;7.11;80%
8.66;0.02;6.70;77%
8.08;0.02;6.10;75%
8.39;0.01;6.41;76%
8.94;0.01;7.05;79%
8.97;0.03;7.30;81%
7.31;0.01;5.65;77%
7.54;0.02;5.93;79%
7.70;0.01;6.01;78%
7.75;0.02;6.05;78%
7.53;0.01;5.93;79%
8.04;0.01;6.45;80%
7.68;0.01;5.82;75%
7.74;0.02;6.09;79%
8.16;0.02;6.42;79%
8.00;0.02;5.95;74%
7.83;0.02;5.88;75%
7.94;0.02;6.13;77%
8.94;0.02;7.27;81%
7.93;0.01;6.05;76%
8.06;0.01;6.03;75%
7.73;0.01;6.08;78%
7.63;0.02;6.24;82%
7.55;0.02;5.98;79%
7.50;0.02;5.87;78%
7.77;0.01;6.26;80%
7.83;0.02;6.11;78%
7.82;0.02;6.34;81%
7.58;0.02;6.16;81%
7.51;0.01;5.99;80%
8.15;0.01;6.47;79%
7.77;0.02;6.22;80%
8.27;0.02;6.82;82%
8.62;0.01;7.08;82%
7.88;0.02;6.18;78%
8.50;0.01;6.92;81%
