Real(s);User(s);Sys(s);CPU_Usage
5.64;0.01;3.92;69%
5.23;0.00;3.74;71%
5.02;0.01;3.57;71%
5.30;0.01;3.68;69%
4.96;0.00;3.60;72%
4.89;0.00;3.52;72%
5.13;0.00;3.69;72%
5.55;0.00;4.10;74%
5.37;0.00;3.83;71%
5.45;0.01;3.63;66%
5.25;0.01;3.71;70%
5.76;0.00;4.08;70%
5.41;0.01;3.83;71%
5.60;0.01;3.90;69%
5.18;0.00;3.65;70%
5.66;0.00;3.82;67%
6.31;0.01;4.53;71%
5.63;0.01;3.78;67%
5.37;0.01;3.59;67%
5.62;0.00;3.91;69%
5.87;0.00;3.98;67%
5.96;0.01;4.08;68%
5.91;0.01;3.94;66%
5.72;0.01;3.74;65%
6.08;0.01;4.28;70%
6.13;0.01;4.26;69%
6.23;0.00;4.39;70%
6.01;0.01;4.33;72%
5.59;0.00;3.83;68%
5.55;0.00;3.58;64%
5.34;0.01;3.67;68%
5.93;0.00;4.03;68%
5.64;0.01;3.78;67%
5.55;0.01;3.71;67%
5.77;0.01;3.89;67%
5.41;0.00;3.77;69%
5.46;0.01;3.79;69%
5.74;0.01;3.72;65%
5.25;0.00;3.65;69%
5.55;0.00;3.59;64%
5.43;0.01;3.56;65%
5.63;0.01;3.84;68%
5.50;0.01;3.67;66%
5.55;0.00;3.68;66%
5.96;0.01;4.27;71%
5.57;0.00;3.49;62%
5.48;0.00;3.63;66%
5.41;0.00;3.63;67%
5.68;0.01;4.04;71%
5.56;0.01;3.94;71%
